instance_id,source_file,source_path,comparison,n_pairs,test,p_raw,p_holm,Z,r,cliffs_delta,cliffs_delta_CI_low,cliffs_delta_CI_high,CLES,cohen_dz
D_k9_1od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_1od_x1.2\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.734375,1.0,-0.3393116065388172,-0.1072997513193544,-0.1,-0.7,0.5,0.5,-0.099907723202114
D_k9_2od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_2od_x0.8\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.76953125,0.76953125,0.2929880968562333,0.0926509713383716,0.0,-0.6,0.6,0.5,-0.044560446370835
D_k9_2od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_2od_x0.8\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.10546875,0.2109375,-1.6189001435373596,-0.5119411757951574,-0.6,-1.0,0.0,0.8,-0.4119914317511975
D_k9_2od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_2od_x0.8\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.083984375,0.251953125,-1.7280214712190125,-0.5464483694727179,-0.8,-1.0,-0.4,0.9,-0.4221362539939807
D_k9_2od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_2od_x1.0\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.845703125,0.845703125,0.1946038037883163,0.0615391261303583,0.4,-0.2,1.0,0.3,-0.0122958615402845
D_k9_2od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_2od_x1.0\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.375,0.75,-0.887146559018876,-0.280540374488064,-0.2,-0.8,0.4,0.6,-0.3345650670144766
D_k9_2od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_2od_x1.0\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.322265625,0.966796875,-0.9898128045978632,-0.3130062919728432,-0.4,-1.0,0.2,0.7,-0.3056686486983883
D_k9_2od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_2od_x1.2\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.845703125,0.845703125,0.1946038037883163,0.0615391261303583,0.0,-0.6,0.6,0.5,-0.041339327350716
D_k9_2od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_2od_x1.2\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.16015625,0.48046875,-1.4045462481588746,-0.4441565223226121,-0.6,-1.0,0.0,0.8,-0.4765923896607656
D_k9_2od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_2od_x1.2\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.4921875,0.984375,-0.6868337485747306,-0.2171959019367575,-0.2,-0.8,0.4,0.6,-0.2252415669025679
D_k9_3od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_3od_x0.8\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,1.0,1.0,0.0,0.0,0.2,-0.4,0.8,0.4,-0.0849777288276249
D_k9_3od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_3od_x0.8\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.556640625,1.0,-0.5878386109171436,-0.1858908907087695,-0.2,-0.8,0.4,0.6,-0.2603367056096787
D_k9_3od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_3od_x0.8\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.845703125,1.0,0.1946038037883163,0.0615391261303583,0.0,-0.6,0.6,0.5,-0.0669423043383231
D_k9_3od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.232421875,0.46484375,-1.194143409897718,-0.3776213028156845,-0.2,-0.8,0.4,0.6,-0.474981765692074
D_k9_3od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.845703125,0.845703125,-0.1946038037883163,-0.0615391261303583,-0.2,-0.8,0.4,0.6,-0.0763243200378454
