sample_idx,k,y_dataset_randseed,att_eval_seed
213,3,541.0819702148438,524.6885
214,3,541.6610107421875,513.0125
215,9,538.948974609375,536.4525
216,3,523.8590087890625,538.6315
217,1,536.6480102539062,489.4005
219,4,536.9194946289062,522.811
220,8,521.02099609375,521.936
221,5,530.54150390625,547.383
222,8,542.8300170898438,556.8285
224,6,538.676513671875,529.267
225,8,523.9774780273438,527.798
226,4,511.072509765625,530.9605
227,4,555.8364868164062,551.0425
228,1,516.4619750976562,538.6315
229,5,539.052978515625,538.9935
230,7,509.5035095214844,518.52
231,7,522.7429809570312,550.895
232,3,550.6934814453125,506.1015
233,7,545.4425048828125,566.527
234,8,522.9025268554688,524.447
235,3,513.91650390625,515.853
236,2,530.7689819335938,518.907
237,8,534.5900268554688,533.0015
238,6,496.4955139160156,504.086
239,2,516.29052734375,499.921
240,9,483.0069885253906,489.2545
241,5,517.9285278320312,514.2575
242,1,533.9935302734375,538.6315
245,6,526.1845092773438,535.4825
247,4,518.5859985351562,517.2165
249,6,518.1795043945312,525.5605
250,6,533.260986328125,526.4025
251,5,508.0245056152344,530.111
252,3,532.2344970703125,524.375
253,3,515.7589721679688,510.3295
254,8,502.3085021972656,505.943
255,4,536.9564819335938,528.067
256,3,572.2785034179688,540.251
257,5,504.45050048828125,544.1695
259,3,507.9639892578125,538.6315
260,1,517.8485107421875,527.5075
261,5,529.905517578125,509.68
262,1,537.62451171875,523.5275
263,8,530.5499877929688,544.528
264,1,522.5194702148438,513.2285
265,6,539.1409912109375,525.1145
266,1,524.4794921875,531.7745
267,2,544.4395141601562,538.847
268,9,545.4110107421875,509.1445
269,3,531.2680053710938,538.6315
270,2,512.7734985351562,538.6315
271,8,525.510986328125,537.315
273,5,541.4169921875,527.674
275,7,526.7860107421875,530.67
276,5,552.70751953125,543.525
277,5,534.8994750976562,536.7695
278,7,537.2490234375,516.172
279,3,525.0889892578125,533.8185
280,6,548.6704711914062,543.0155
281,2,507.5505065917969,531.493
282,3,538.1820068359375,522.504
283,1,513.781494140625,538.6315
284,5,511.4494934082031,508.552
286,2,529.9130249023438,538.6315
287,1,497.4549865722656,538.6315
289,9,544.1099853515625,506.859
290,4,537.4940185546875,515.4575
292,2,505.9385070800781,513.268
294,2,523.1909790039062,526.824
295,2,506.3315124511719,525.425
297,6,522.7755126953125,529.426
298,4,510.61700439453125,518.552
299,6,525.1699829101562,522.0545
300,6,541.0800170898438,533.575
301,6,494.87451171875,522.7335
302,7,517.9349975585938,531.07
303,2,534.4099731445312,489.4005
304,8,527.5599975585938,523.0955
305,2,535.6690063476562,529.6965
306,6,524.6055297851562,500.813
307,4,522.9035034179688,541.236
308,9,543.1704711914062,525.4115
309,2,568.5230102539062,519.273
310,9,536.91748046875,520.1525
311,1,522.3674926757812,504.4075
312,5,512.6224975585938,523.0055
313,3,519.155517578125,519.934
314,5,522.6995239257812,534.136
315,6,512.0360107421875,545.091
316,9,535.219970703125,526.7825
317,4,508.68798828125,527.095
318,3,520.58349609375,523.1005
