eval,k,score,accepted,best_score,temp,closed_edges,run_dir
39,3,494.377000,1,494.377000,3.5883,"-E47,E40,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0038
40,2,499.921000,0,494.377000,3.5563,"-E47,E40",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0039
41,3,530.712500,0,494.377000,3.4931,"-E28,-E47,E40",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0040
42,2,494.377000,1,494.377000,3.4619,"E40,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0041
43,3,516.981000,0,494.377000,3.4004,"-E28,E40,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0042
44,3,499.921000,1,494.377000,3.3700,"-E23,-E43,E40",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0043
45,3,538.631500,0,494.377000,3.3400,"-E19,-E23,-E43",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0044
46,4,499.921000,1,494.377000,3.3101,"-E23,-E43,E40,E64",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0045
47,4,520.362000,0,494.377000,3.2806,"-E43,-E63,E40,E64",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0046
48,4,499.921000,1,494.377000,3.2513,"-E23,-E43,E16,E40",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0047
49,4,541.375000,0,494.377000,3.2223,"-E19,-E23,-E43,E16",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0048
50,4,499.921000,1,494.377000,3.1935,"-E23,E16,E25,E40",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0049
51,4,541.375000,0,494.377000,3.1650,"-E23,E16,E17,E25",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0050
52,3,499.921000,1,494.377000,3.1368,"-E23,E25,E40",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0051
