instance_id,sol_id,sumo_seed,att
B_k9_3od_x1.0,S007,201,534.1475
B_k9_3od_x1.0,S007,204,522.4625
B_k9_3od_x1.0,S007,205,534.0655
B_k9_3od_x1.0,S008,201,522.9275
B_k9_3od_x1.0,S008,202,553.714
B_k9_3od_x1.0,S008,203,517.04
B_k9_3od_x1.0,S008,205,524.0525
B_k9_3od_x1.0,S008,204,533.346
B_k9_3od_x1.0,S009,201,523.182
B_k9_3od_x1.0,S009,202,511.6005
B_k9_3od_x1.0,S009,203,517.4305
B_k9_3od_x1.0,S009,204,514.2935
B_k9_3od_x1.0,S009,205,506.087
B_k9_3od_x1.0,S010,201,482.1135
B_k9_3od_x1.0,S010,204,481.962
B_k9_3od_x1.0,S010,202,508.142
B_k9_3od_x1.0,S010,203,509.798
B_k9_3od_x1.0,S010,205,493.3615
B_k9_3od_x1.0,S011,201,522.341
B_k9_3od_x1.0,S011,202,491.475
B_k9_3od_x1.0,S011,204,469.745
B_k9_3od_x1.0,S011,203,488.5835
B_k9_3od_x1.0,S011,205,500.1095
B_k9_3od_x1.0,S012,201,535.278
B_k9_3od_x1.0,S012,203,518.7645
B_k9_3od_x1.0,S012,202,573.9655
B_k9_3od_x1.0,S012,204,519.5705
B_k9_3od_x1.0,S012,205,542.125
B_k9_3od_x1.0,S013,203,492.5345
B_k9_3od_x1.0,S013,201,527.9735
B_k9_3od_x1.0,S013,202,520.5685
B_k9_3od_x1.0,S013,204,507.5945
B_k9_3od_x1.0,S013,205,528.8295
B_k9_3od_x1.0,S014,201,524.371
B_k9_3od_x1.0,S014,202,524.915
B_k9_3od_x1.0,S014,203,514.869
B_k9_3od_x1.0,S014,205,521.351
B_k9_3od_x1.0,S014,204,511.859
B_k9_3od_x1.0,S015,201,492.271
B_k9_3od_x1.0,S015,202,524.993
B_k9_3od_x1.0,S015,203,492.5625
B_k9_3od_x1.0,S015,204,507.531
B_k9_3od_x1.0,S016,203,481.359
B_k9_3od_x1.0,S016,204,479.816
B_k9_3od_x1.0,S016,202,505.546
B_k9_3od_x1.0,S016,201,514.7955
B_k9_3od_x1.0,S015,205,555.36
B_k9_3od_x1.0,S016,205,495.8655
B_k9_3od_x1.0,S017,201,511.314
B_k9_3od_x1.0,S017,202,514.021
B_k9_3od_x1.0,S017,203,513.702
B_k9_3od_x1.0,S017,204,518.9165
B_k9_3od_x1.0,S018,201,522.164
B_k9_3od_x1.0,S018,202,536.3815
B_k9_3od_x1.0,S017,205,518.455
B_k9_3od_x1.0,S018,203,517.5575
B_k9_3od_x1.0,S018,204,523.7895
B_k9_3od_x1.0,S018,205,526.4395
B_k9_3od_x1.0,S019,202,501.493
B_k9_3od_x1.0,S019,201,522.6885
B_k9_3od_x1.0,S019,204,492.1755
B_k9_3od_x1.0,S019,203,499.5355
B_k9_3od_x1.0,S019,205,492.2865
B_k9_3od_x1.0,S020,201,509.438
B_k9_3od_x1.0,S020,202,516.0535
B_k9_3od_x1.0,S020,203,504.4
B_k9_3od_x1.0,S020,205,513.3755
B_k9_3od_x1.0,S020,204,511.237
B_k9_3od_x1.0,S021,203,505.704
B_k9_3od_x1.0,S021,201,541.0645
B_k9_3od_x1.0,S021,202,556.1945
B_k9_3od_x1.0,S021,204,528.8025
B_k9_3od_x1.0,S021,205,533.815
B_k9_3od_x1.0,S022,201,498.1965
B_k9_3od_x1.0,S022,202,509.611
B_k9_3od_x1.0,S022,203,506.2855
B_k9_3od_x1.0,S022,204,506.832
B_k9_3od_x1.0,S022,205,480.1995
B_k9_3od_x1.0,S023,201,506.4325
B_k9_3od_x1.0,S023,203,497.402
B_k9_3od_x1.0,S023,202,547.7225
B_k9_3od_x1.0,S023,204,507.389
B_k9_3od_x1.0,S023,205,492.396
B_k9_3od_x1.0,S024,201,518.7945
B_k9_3od_x1.0,S024,202,524.9535
B_k9_3od_x1.0,S024,203,532.0565
B_k9_3od_x1.0,S024,204,536.0855
B_k9_3od_x1.0,S024,205,521.3
B_k9_3od_x1.0,S025,201,518.264
B_k9_3od_x1.0,S025,202,530.2095
B_k9_3od_x1.0,S025,203,495.26
B_k9_3od_x1.0,S025,204,521.022
B_k9_3od_x1.0,S025,205,501.5555
B_k9_3od_x1.0,S026,201,508.0135
B_k9_3od_x1.0,S026,202,537.98
B_k9_3od_x1.0,S026,203,518.795
B_k9_3od_x1.0,S026,205,517.729
B_k9_3od_x1.0,S026,204,524.761
B_k9_3od_x1.0,S027,201,506.0515
B_k9_3od_x1.0,S027,202,494.582
B_k9_3od_x1.0,S027,203,503.3795
B_k9_3od_x1.0,S027,204,506.43
